	open	high	close	low	volume
2018-02-27	23.53	25.88	24.16	23.53	95578.03
2018-02-26	22.8	23.78	23.53	22.8	60985.11
2018-02-23	22.88	23.37	22.82	22.71	52914.01
2018-02-22	22.25	22.76	22.28	22.02	36105.01
2018-02-14	21.49	21.99	21.92	21.48	23331.04
